,07/03,08/03,09/03,10/03,11/03,12/03,13/03
Barking and Dagenham,0,0,0,1,1,3,4
Barnet,3,4,5,8,8,9,14
Barnsley,2,2,2,2,2,2,2
Bath and North East Somerset,0,0,0,0,0,0,0
Bedford,0,0,0,0,0,0,0
Bexley,0,0,0,0,0,0,1
Birmingham,1,1,1,1,2,2,2
Blackburn with Darwen,0,0,0,0,0,0,0
Blackpool,0,0,0,0,0,2,2
Bolton,1,2,3,3,3,3,3
"Bournemouth, Christchurch and Poole",0,2,2,3,3,3,3
Bracknell Forest,2,2,2,2,2,4,4
Bradford,1,1,1,1,1,3,4
Brent,1,3,3,3,3,3,4
Brighton and Hove,7,7,8,8,8,8,9
"Bristol, City of",1,2,2,2,3,3,5
Bromley,1,1,1,2,2,2,4
Buckinghamshire,1,1,1,2,2,4,7
Bury,4,3,3,3,3,3,3
Calderdale,0,0,0,0,0,2,2
Cambridgeshire,0,0,0,1,1,1,1
Camden,2,2,4,5,7,11,13
Central Bedfordshire,0,0,0,0,0,0,0
Cheshire East,0,0,0,0,0,0,0
Cheshire West and Chester,0,0,0,0,0,2,3
Cornwall and Isles of Scilly,2,3,4,4,5,5,5
County Durham,0,0,0,1,1,1,1
Coventry,1,3,2,3,3,3,3
Croydon,0,0,0,1,1,1,1
Cumbria,4,5,5,7,7,7,8
Darlington,0,0,0,0,0,0,0
Derby,0,0,0,0,1,1,1
Derbyshire,3,4,4,4,4,4,4
Devon,10,12,12,13,13,13,14
Doncaster,0,0,0,0,0,0,0
Dorset,0,0,0,0,0,0,1
Dudley,0,0,1,1,1,1,4
Ealing,5,5,5,5,5,5,8
East Riding of Yorkshire,0,0,0,0,0,0,1
East Sussex,0,0,0,0,0,0,0
Enfield,0,0,1,1,1,1,2
Essex,3,5,5,5,6,6,9
Gateshead,0,0,0,0,0,0,1
Gloucestershire,3,3,3,3,4,3,5
Greenwich,0,0,0,1,1,1,1
Hackney and City of London,2,2,2,3,4,4,5
Halton,0,0,0,0,0,0,0
Hammersmith and Fulham,1,2,2,2,3,3,5
Hampshire,2,8,8,10,13,15,20
Haringey,0,0,0,1,1,3,3
Harrow,1,1,1,1,1,1,2
Hartlepool,0,0,0,0,0,0,0
Havering,0,0,2,2,2,2,1
"Herefordshire, County of",0,0,0,1,1,1,1
Hertfordshire,8,13,13,16,18,18,20
Hillingdon,1,1,1,1,3,3,4
Hounslow,3,3,3,5,5,5,5
Isle of Wight,1,1,1,1,1,1,1
Islington,0,0,0,1,1,1,1
Kensington and Chelsea,6,8,8,13,15,19,21
Kent,2,4,4,5,5,9,11
"Kingston upon Hull, City of",1,1,1,1,1,1,1
Kingston upon Thames,1,1,1,1,1,1,2
Kirklees,0,0,0,0,1,1,1
Knowsley,0,0,0,0,0,0,0
Lambeth,2,3,3,4,5,7,9
Lancashire,2,4,4,4,5,5,6
Leeds,3,3,5,5,5,7,7
Leicester,0,0,0,0,0,2,2
Leicestershire,1,1,2,2,2,2,3
Lewisham,2,3,3,3,3,5,5
Lincolnshire,1,1,1,1,1,1,1
Liverpool,3,4,5,5,6,8,8
Luton,2,2,2,2,2,2,3
Manchester,5,5,5,5,5,7,7
Medway,2,2,2,2,2,2,2
Merton,1,1,1,2,2,2,4
Middlesbrough,0,0,0,0,0,0,0
Milton Keynes,1,1,1,2,2,2,2
Newcastle upon Tyne,3,3,4,4,6,6,5
Newham,0,0,0,0,0,0,0
Norfolk,0,0,0,0,0,0,0
North East Lincolnshire,0,0,0,0,0,0,0
North Lincolnshire,0,0,0,0,1,1,1
North Somerset,0,0,0,1,0,0,0
North Tyneside,1,1,1,1,2,2,3
North Yorkshire,0,0,0,0,0,4,4
Northamptonshire,2,4,4,5,5,5,6
Northumberland,0,0,0,0,0,0,0
Nottingham,2,2,2,2,3,3,5
Nottinghamshire,3,3,5,5,6,6,6
Oldham,2,2,4,4,4,4,6
Oxfordshire,4,5,5,7,9,17,22
Peterborough,1,1,1,1,1,1,1
Plymouth,0,0,0,0,0,0,1
Portsmouth,0,0,0,0,0,0,0
Reading,0,0,0,0,0,2,3
Redbridge,1,1,1,1,1,1,1
Redcar and Cleveland,0,0,0,0,0,0,0
Richmond upon Thames,0,0,0,1,1,1,1
Rochdale,0,0,0,0,1,1,2
Rotherham,0,0,0,1,1,1,1
Rutland,0,0,0,0,0,0,0
Salford,0,0,0,0,0,0,0
Sandwell,0,0,0,0,0,0,0
Sefton,0,0,0,0,1,1,1
Sheffield,0,0,0,0,1,3,3
Shropshire,0,0,0,1,2,2,3
Slough,0,0,0,1,1,1,2
Solihull,0,0,0,0,0,0,0
Somerset,1,2,2,2,2,1,1
South Gloucestershire,0,0,0,0,1,1,1
South Tyneside,0,0,0,0,0,0,0
Southampton,0,0,0,0,0,0,0
Southend-on-Sea,1,1,1,1,1,1,2
Southwark,1,3,5,8,9,11,13
St. Helens,0,0,0,0,0,0,0
Staffordshire,4,4,4,4,4,4,4
Stockport,0,0,0,0,0,0,2
Stockton-on-Tees,0,0,0,0,2,2,2
Stoke-on-Trent,0,0,0,0,0,0,0
Suffolk,0,0,1,1,1,1,1
Sunderland,0,0,1,1,1,1,1
Surrey,4,5,6,6,10,13,16
Sutton,0,0,1,2,4,5,6
Swindon,1,2,2,2,2,2,2
Tameside,0,1,1,1,1,1,1
Telford and Wrekin,0,0,0,0,0,0,0
Thurrock,0,0,0,0,0,0,0
Torbay,4,6,7,7,7,7,7
Tower Hamlets,0,1,1,4,4,6,6
Trafford,4,4,4,4,4,4,5
Wakefield,0,0,0,0,0,0,0
Walsall,0,0,0,0,0,0,1
Waltham Forest,0,0,1,1,1,1,1
Wandsworth,2,3,3,3,3,7,7
Warrington,0,0,0,0,1,1,1
Warwickshire,0,3,4,4,4,4,4
West Berkshire,0,0,0,0,0,0,1
West Sussex,3,3,3,3,3,3,4
Westminster,2,3,3,5,6,12,13
Wigan,3,3,3,3,3,3,3
Wiltshire,3,3,3,4,4,4,4
Windsor and Maidenhead,0,0,0,1,1,1,4
Wirral,1,1,1,1,2,4,5
Wokingham,2,3,3,3,3,3,4
Wolverhampton,0,0,2,3,4,4,8
Worcestershire,0,0,0,0,0,0,2
York,3,3,3,3,3,3,4